Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"6'3""",100,39,,24,30,0
Female,"6'10""",57,46,A,20,34,3
Female,"4'9""",48,42,,27,40,4
Male,"6'10""",56,45,,24,33,1
Male,"6'0""",97,38,A,36,31,0
Female,"6'3""",52,33,A,34,46,1
Male,"6'10""",89,45,,23,41,3
Female,"4'2""",45,40,B,32,31,1
Female,"5'10""",90,36,B,36,38,3
Male,"5'11""",75,46,,32,35,1
Male,"4'2""",110,42,,21,35,3
Female,"5'5""",64,33,D,23,47,2
Female,"6'7""",50,43,E,21,32,2
Female,"5'0""",83,39,,31,44,2
Male,"6'10""",53,39,D,38,36,2
Female,"5'2""",68,39,,37,42,2
Female,"6'4""",113,41,,29,39,4
Female,"4'9""",89,31,C,24,33,1
Male,"6'8""",44,38,A,30,45,2
Female,"4'2""",111,34,D,20,38,4
Female,"6'1""",108,37,B,22,39,4
Male,"5'10""",96,43,A,36,48,1
Female,"4'3""",65,36,,34,46,1
Female,"6'6""",45,36,D,33,30,3
Male,"6'1""",55,38,,34,42,3
Female,"6'11""",99,32,B,35,33,2
Male,"4'10""",51,43,,23,44,0
Male,"4'2""",114,46,B,38,39,3
Female,"4'11""",42,47,E,27,49,0
Female,"5'3""",102,41,,25,38,3
Female,"5'0""",103,43,E,35,37,4
Female,"5'3""",101,42,B,22,49,4
Male,"5'8""",45,43,,27,35,4
Female,"5'10""",58,38,,24,39,0
Male,"6'1""",57,48,,24,49,2
Female,"6'6""",119,31,B,31,46,3
Female,"5'1""",82,40,,20,34,3
Female,"6'10""",112,46,,26,43,0
Male,"4'11""",42,31,C,30,46,4
Female,"4'6""",111,48,D,29,40,2
Female,"4'10""",77,36,A,22,33,3
Female,"6'8""",107,47,C,27,46,2
Female,"4'5""",115,42,F,20,31,2
Male,"5'5""",83,34,B,27,30,1
Female,"6'0""",119,47,,39,47,2
Male,"6'3""",102,45,,30,36,1
Male,"4'7""",81,44,E,26,35,0
Male,"5'5""",103,37,,35,35,4
Male,"5'0""",93,44,,26,43,1
Male,"4'1""",117,30,,32,41,2
Male,"5'0""",116,46,,29,43,4
Female,"6'10""",110,44,F,36,43,2
Male,"6'11""",115,43,B,22,41,2
Male,"5'3""",76,43,,26,38,1
Male,"5'5""",43,39,D,30,38,0
Female,"6'11""",41,31,,32,31,2
Female,"5'1""",83,35,,24,47,1
Male,"4'0""",106,46,B,38,34,2
Female,"5'1""",107,34,,34,41,4
Male,"5'9""",115,34,D,20,43,0
Male,"6'7""",113,44,D,24,42,2
Female,"6'5""",101,44,B,32,32,0
Male,"4'7""",40,49,D,29,44,0
Female,"5'0""",56,40,D,24,44,4
Female,"6'10""",55,34,B,20,32,4
Male,"6'10""",48,30,A,29,49,3
Male,"6'7""",92,40,A,37,48,0
Female,"6'4""",112,40,C,27,44,2
Male,"6'7""",98,35,,39,48,4
Male,"6'8""",48,37,F,22,37,2
Male,"6'2""",51,31,,38,42,0
Female,"4'9""",80,44,D,38,39,4
Female,"4'6""",54,38,,21,31,3
Male,"4'7""",105,44,B,36,40,0
Female,"6'4""",114,37,C,35,48,2
Female,"5'3""",50,45,B,29,38,3
Female,"6'4""",47,43,,35,38,0
Female,"6'11""",94,44,,24,35,4
Female,"4'0""",45,49,A,39,39,0
Male,"5'2""",92,42,,22,37,1
Male,"5'10""",59,38,B,22,44,2
Male,"5'1""",78,30,,21,35,4
Female,"6'11""",111,35,,23,36,4
Female,"5'1""",73,37,,37,49,1
Male,"6'3""",96,49,B,21,46,3
Female,"5'5""",58,47,,25,33,4
Male,"5'3""",110,47,,22,37,3
Male,"6'4""",70,46,C,22,42,3
Male,"6'4""",79,45,F,21,43,3
Female,"5'8""",53,42,,22,47,0
Female,"6'7""",76,33,,36,46,1
Male,"6'7""",83,33,C,33,47,2
Male,"4'7""",48,43,C,26,43,1
Male,"5'6""",97,34,A,25,40,4
Male,"4'3""",59,45,nan,27,39,1
Female,"4'3""",89,43,D,38,42,2
Female,"4'9""",59,43,,38,49,0
Male,"5'3""",75,43,E,31,45,4
Male,"6'1""",66,43,B,24,43,0
Female,"5'7""",111,48,,24,32,4
Female,"6'7""",71,32,C,33,47,2
Male,"6'5""",40,46,C,36,35,0
Male,"5'6""",56,43,A,35,49,2
Male,"6'11""",48,39,,23,32,2
Female,"5'4""",84,42,C,27,48,1
Female,"5'9""",105,33,E,22,32,4
Female,"5'7""",71,40,A,24,41,3
Male,"6'11""",84,44,A,26,37,3
Male,"5'6""",48,44,,37,34,0
Female,"4'0""",69,31,,27,46,2
Female,"6'9""",77,40,D,30,39,1
Male,"4'6""",99,31,B,33,46,4
Female,"5'4""",40,34,C,37,38,0
Female,"5'8""",44,42,C,32,42,2
Male,"5'8""",102,30,B,25,39,3
Female,"5'2""",75,36,D,32,37,3
Male,"4'9""",104,36,C,20,36,4
Male,"6'6""",117,39,,30,31,4
Male,"6'0""",112,35,E,26,31,4
Male,"4'7""",63,49,,29,33,0
Male,"5'10""",43,41,,21,38,4
Male,"4'1""",117,42,D,35,43,0
Male,"4'8""",107,40,,24,40,1
Female,"6'11""",64,47,,35,36,2
Male,"5'2""",113,31,,35,48,3
Male,"6'8""",46,45,E,34,33,0
Female,"6'1""",52,31,,28,31,2
Female,"6'6""",107,48,,20,48,4
Female,"6'8""",82,35,A,28,47,3
Male,"5'7""",96,30,B,30,36,0
Female,"4'0""",75,40,,24,40,4
Male,"4'4""",53,47,A,25,39,2
Male,"5'2""",111,39,B,27,40,1
Male,"4'8""",66,47,,34,38,2
Male,"5'5""",76,30,,35,32,0
Female,"6'7""",110,48,,37,34,1
Female,"4'10""",115,45,E,31,30,1
Male,"5'5""",64,36,,23,30,4
Male,"4'2""",106,44,,35,49,2
Male,"6'5""",43,30,B,30,34,0
Female,"5'5""",118,38,D,26,48,1
Male,"4'5""",113,31,B,34,35,4
Male,"6'7""",55,46,B,36,32,1
Female,"5'8""",58,39,,34,42,2
Female,"5'2""",68,35,,29,46,3
Male,"5'2""",90,34,,23,32,0
Female,"6'11""",57,37,E,36,32,3
Female,"4'10""",97,37,,23,42,2
Male,"6'4""",83,34,B,30,31,3
Female,"5'3""",55,41,D,23,32,2
Male,"4'8""",104,36,B,31,49,2
Female,"6'4""",41,42,,29,45,4
Male,"5'3""",95,42,E,33,41,3
Male,"6'5""",118,46,,37,38,1
Male,"4'9""",67,33,,25,45,2
Female,"5'0""",104,47,,24,33,3
Male,"4'0""",44,39,C,21,49,1
Female,"5'3""",61,32,,32,47,0
Male,"4'0""",52,41,,33,30,1
Male,"6'0""",104,30,D,22,36,3
Female,"5'7""",55,40,,30,49,3
Male,"5'10""",103,47,A,23,41,1
Male,"4'6""",71,42,,32,37,1
Female,"5'7""",119,46,B,27,37,2
Male,"6'9""",90,37,E,27,38,3
Male,"6'10""",118,49,E,32,43,2
Male,"4'6""",97,48,A,29,49,2
Male,"4'0""",85,46,B,32,34,0
Female,"4'6""",91,31,,32,49,3
Female,"5'5""",102,32,,36,31,2
Male,"5'0""",115,32,,25,39,0
Female,"5'6""",99,35,,21,38,2
Male,"4'1""",104,39,B,36,36,2
Female,"4'1""",94,47,A,31,47,3
Male,"4'10""",96,47,,25,41,1
Male,"4'4""",110,43,D,24,40,1
Male,"6'0""",112,45,,24,39,3
Male,"6'3""",65,36,A,28,42,1
Male,"6'8""",51,30,B,22,38,4
Male,"5'11""",110,46,,39,45,1
Female,"6'4""",85,34,,24,46,2
Male,"6'3""",86,30,C,26,34,2
Female,"5'0""",118,46,,31,35,0
Male,"4'3""",77,39,,26,39,3
Female,"4'5""",60,41,,29,40,0
Female,"6'0""",53,49,,27,31,2
Female,"6'10""",41,31,B,36,36,2
Male,"5'8""",111,45,D,24,43,0
Male,"6'11""",109,44,F,34,33,4
Female,"4'8""",72,42,A,28,34,1
Male,"4'7""",45,47,,30,48,4
Female,"6'11""",76,49,,32,49,4
Male,"4'10""",53,43,,37,39,4
Female,"5'2""",76,47,D,36,35,4
Female,"6'6""",47,31,B,28,31,1
Male,"6'0""",116,31,B,29,32,3
Female,"4'9""",52,32,A,24,44,0
Male,"4'4""",79,34,,30,39,4
Female,"4'7""",97,45,,34,46,4
Female,"6'7""",57,44,,21,36,0
Male,"5'5""",96,41,A,39,31,0
Male,"5'5""",77,38,B,33,36,3
Male,"4'2""",71,43,B,24,44,2
Female,"5'7""",105,45,E,25,32,3
Male,"4'0""",116,40,D,34,34,2
Female,"6'2""",64,35,F,23,37,1
Female,"6'7""",97,39,,29,33,3
Male,"4'4""",114,37,C,38,47,1
Male,"6'1""",72,45,B,28,48,0
Female,"6'7""",105,32,B,29,37,3
Female,"6'6""",69,31,,23,35,0
Male,"6'0""",73,45,,23,34,4
Male,"5'2""",108,48,B,25,34,0
Male,"5'11""",87,38,,27,46,4
Male,"5'5""",79,45,,35,35,2
Male,"6'4""",90,33,,27,42,4
Female,"6'3""",119,39,B,35,38,2
Female,"5'9""",52,48,,25,41,4
Female,"4'10""",70,42,,36,39,4
Female,"5'3""",78,47,,20,30,1
Male,"5'0""",102,44,C,38,40,1
Male,"4'3""",87,33,,37,35,0
Male,"6'11""",87,38,C,36,32,1
Female,"5'2""",100,33,,36,35,2
Female,"5'11""",51,45,B,31,38,1
Male,"6'7""",117,44,A,31,37,0
Male,"6'11""",95,31,A,25,44,3
Female,"4'9""",57,43,B,26,35,2
Female,"5'7""",66,32,A,27,40,3
Male,"4'11""",67,33,,22,39,2
Male,"5'3""",119,30,,36,40,0
Female,"5'11""",91,38,,27,33,1
Male,"6'8""",55,46,D,30,42,3
Male,"6'7""",116,43,A,39,37,3
Male,"6'7""",97,46,D,37,49,1
Female,"6'8""",48,30,,35,44,0
Female,"6'1""",65,39,B,32,36,1
Female,"6'9""",67,45,A,28,30,4
Female,"5'5""",116,48,D,38,38,4
Female,"5'8""",75,32,C,26,37,4
Female,"5'3""",48,41,,36,31,3
Female,"5'2""",86,32,B,27,43,3
Male,"6'7""",117,44,E,27,41,0
Male,"4'2""",90,46,A,22,46,2
Male,"5'10""",115,47,B,35,48,1
Male,"4'2""",96,36,,31,35,2
Male,"4'4""",71,48,D,34,34,3
Male,"5'1""",106,36,,23,35,1
Male,"6'1""",96,34,,26,32,3
Female,"6'3""",93,37,D,30,45,0
Female,"6'6""",55,45,B,24,47,1
Male,"4'5""",101,45,,32,43,3
Male,"4'1""",95,48,A,30,44,4
Female,"5'2""",62,44,E,24,33,4
Male,"5'4""",56,36,,27,40,3
Male,"4'3""",119,34,,36,34,2
Female,"4'3""",77,40,,30,38,0
Male,"5'4""",111,39,,38,34,0
Female,"5'0""",69,38,,37,36,3
Male,"5'9""",97,30,,29,47,0
Female,"5'3""",117,49,B,24,47,1
Female,"6'8""",61,30,A,20,49,0
Female,"4'7""",56,37,C,36,31,4
Male,"4'9""",54,32,E,36,42,3
Female,"4'5""",87,31,A,20,42,1
Male,"4'10""",71,33,D,20,46,0
Male,"6'6""",116,48,C,28,46,4
Male,"6'1""",79,40,B,23,35,2
Male,"4'11""",96,34,D,28,43,0
Female,"6'5""",97,39,,33,43,4
Female,"6'2""",55,37,,34,41,4
Male,"5'9""",67,42,F,35,34,4
Male,"4'3""",40,34,B,35,34,4
Female,"4'7""",80,41,,32,33,2
Male,"6'10""",87,42,,33,42,3
Female,"4'4""",70,37,,28,33,4
Male,"5'4""",75,44,A,28,47,3
Male,"6'4""",72,42,,23,45,2
Female,"6'5""",72,30,,29,47,2
Male,"4'4""",62,35,,22,31,1
Female,"4'10""",99,40,E,28,33,1
Male,"5'0""",118,42,,38,49,4
Male,"6'10""",69,49,C,35,46,3
Male,"6'9""",84,30,,35,49,2
Female,"4'10""",119,40,,36,35,0
Male,"6'5""",78,40,B,37,47,1
Male,"5'8""",84,37,,29,49,1
Male,"6'9""",117,32,,38,36,0
Male,"4'7""",51,48,,34,42,3
Female,"6'1""",71,41,C,34,38,3
Female,"6'3""",95,35,D,30,31,3
Male,"4'11""",63,37,D,27,37,4
Female,"4'6""",52,34,,35,43,4
Male,"5'7""",59,39,E,29,47,0
Male,"4'0""",118,45,,28,30,2
Male,"4'8""",95,41,,34,38,0
Female,"6'9""",92,46,,24,38,2
Female,"5'9""",107,35,,39,31,0
Female,"4'0""",93,38,,21,45,4
Female,"5'5""",73,39,,35,33,3
Female,"6'7""",67,49,,37,42,1
Female,"5'0""",89,43,,35,46,0
Female,"4'5""",41,43,B,24,40,0
Female,"5'0""",65,46,B,20,31,1
Female,"5'0""",90,45,,38,33,0
Male,"5'5""",86,33,C,29,41,3
Female,"6'7""",65,31,B,32,31,1
Female,"4'5""",114,45,C,30,30,1
Female,"4'10""",113,30,,34,35,3
Female,"4'0""",100,32,B,21,45,3
Female,"6'4""",62,40,,25,31,1
Female,"6'11""",76,45,A,30,43,3
Female,"5'4""",80,47,B,34,49,3
Female,"5'9""",91,44,C,28,41,3
Female,"4'6""",88,38,,31,48,1
Female,"4'1""",66,41,,23,32,0
Female,"5'4""",45,47,,33,48,2
Male,"5'3""",113,34,,22,40,1
Male,"5'5""",105,37,,36,33,2
Female,"6'1""",63,32,,32,46,3
Female,"5'3""",77,31,,27,46,3
Male,"4'8""",67,48,,31,36,0
Female,"5'6""",67,37,,31,34,3
Male,"6'2""",105,31,D,31,48,2
Male,"6'10""",100,48,B,21,48,1
Male,"6'11""",85,30,,29,38,1
Male,"6'0""",108,42,A,28,46,0
Male,"6'2""",114,49,B,20,38,2
Female,"6'9""",113,46,,23,43,3
Male,"4'0""",82,32,,33,34,4
Female,"6'10""",98,38,D,35,31,0
Female,"5'0""",41,34,,37,44,0
Male,"6'3""",54,35,B,21,45,4
Male,"4'5""",76,33,,25,48,1
Female,"5'4""",110,46,C,22,30,1
Male,"6'3""",59,45,,39,41,1
Male,"6'11""",74,45,C,38,48,4
Female,"5'3""",73,40,B,32,49,3
Female,"4'9""",70,31,D,36,44,3
Male,"4'1""",58,46,A,33,34,2
Female,"6'2""",107,44,,30,30,2
Male,"5'7""",63,47,C,35,40,1
Male,"6'10""",78,39,,30,38,4
Male,"6'8""",93,35,B,37,36,0
Female,"6'1""",78,45,,21,31,3
Female,"6'7""",56,34,A,27,46,4
Female,"6'6""",58,41,,33,45,2
Female,"5'8""",87,35,C,21,45,3
Female,"6'9""",74,43,B,32,43,3
Male,"5'1""",71,45,,29,31,4
Male,"5'4""",86,36,D,27,48,2
Male,"4'6""",86,31,D,26,32,4
Male,"5'10""",103,35,D,32,37,0
Female,"5'6""",85,38,B,38,48,3
Male,"4'5""",74,36,,34,45,4
Female,"5'11""",56,31,C,21,33,4
Male,"4'6""",81,48,,24,37,0
Female,"5'9""",68,37,,38,30,4
Female,"5'7""",109,40,,20,33,3
Male,"5'8""",56,33,,26,36,1
Male,"4'9""",53,45,C,37,30,1
Male,"5'7""",63,47,B,20,47,2
Male,"6'2""",96,42,,20,33,0
Female,"5'10""",89,34,C,26,49,2
Male,"6'0""",96,31,E,36,43,1
Male,"6'3""",100,40,,25,37,0
Female,"4'8""",78,30,,39,47,4
Male,"6'4""",94,42,,31,36,4
Male,"5'7""",75,34,A,39,32,3
Male,"5'2""",76,47,,34,43,1
Male,"5'0""",53,43,,32,41,4
Male,"5'6""",66,42,E,31,44,0
Female,"6'10""",70,36,A,21,37,4
Male,"5'2""",112,37,B,37,34,2
Male,"4'11""",83,47,B,23,46,2
Male,"6'0""",107,36,C,29,39,2
Male,"5'0""",87,49,A,30,40,2
Male,"6'8""",96,46,E,25,45,2
Female,"4'6""",114,45,D,25,45,3
Male,"5'2""",61,40,,28,33,2
Female,"4'4""",43,48,C,39,34,3
Female,"6'3""",111,30,,32,39,3
Male,"6'8""",85,37,B,24,43,4
Male,"5'7""",98,30,E,25,38,0
Male,"6'8""",73,38,,23,47,2
Male,"5'9""",50,48,D,25,49,0
Female,"4'9""",70,38,,37,35,1
Male,"5'6""",50,39,B,32,40,3
Male,"6'8""",95,40,,22,46,1
Male,"4'2""",77,30,,29,38,3
Male,"5'9""",60,49,D,23,32,2
Male,"6'10""",49,37,,34,45,1
Male,"6'4""",65,49,,31,49,4
Female,"4'5""",47,41,C,34,33,1
Female,"4'6""",47,30,C,29,44,3
Male,"6'0""",99,39,,31,31,3
Male,"5'1""",111,33,B,27,49,0
Male,"4'9""",73,44,,22,46,1
Female,"5'5""",55,48,,26,48,4
Male,"6'10""",52,35,,37,49,2
Female,"4'2""",115,34,B,22,45,0
Male,"5'2""",61,34,A,34,48,1
Male,"4'10""",66,47,,21,46,0
Male,"5'5""",103,32,,34,33,1
Male,"4'11""",41,31,,32,47,2
Female,"6'9""",65,33,B,39,33,2
Female,"4'3""",108,47,,29,32,4
Male,"6'5""",69,38,C,27,47,0
Male,"5'9""",47,48,,35,49,4
Female,"6'10""",77,39,,35,34,1
Female,"6'7""",100,44,,21,38,2
Female,"6'6""",104,30,,28,44,2
Female,"5'7""",106,40,F,27,38,3
Male,"4'10""",85,43,F,30,43,3
Female,"4'0""",111,39,C,20,31,4
Male,"4'7""",82,48,C,30,47,0
Female,"4'9""",98,45,A,37,42,1
Female,"5'11""",85,37,,34,45,4
Female,"4'6""",111,31,C,28,35,2
Female,"5'9""",74,36,A,28,45,2
Female,"6'3""",78,48,B,20,33,2
Male,"4'4""",90,36,C,26,39,1
Male,"4'2""",43,44,,31,48,4
Female,"6'3""",119,37,,29,40,1
Female,"6'3""",116,43,,38,34,2
Male,"6'9""",90,30,B,35,47,3
Female,"4'4""",44,42,,25,32,4
Female,"6'6""",94,32,,30,37,3
Male,"4'3""",59,35,A,38,40,4
Female,"4'5""",63,48,D,38,48,2
Female,"6'3""",75,44,B,37,32,3
Male,"5'5""",73,33,,34,41,3
Male,"5'4""",93,32,A,35,44,4
Male,"5'3""",73,33,,33,45,3
Female,"5'2""",56,34,,27,34,3
Male,"6'1""",44,47,,27,48,2
Male,"4'10""",57,39,,21,35,4
Male,"5'5""",94,37,,25,41,4
Male,"4'3""",92,41,A,32,48,0
Male,"5'3""",89,32,,32,38,4
Male,"6'3""",111,47,,31,47,2
Female,"4'6""",118,37,,21,32,3
Female,"6'2""",84,30,,39,43,0
Male,"5'5""",52,43,,31,34,3
Male,"6'8""",55,42,B,36,34,4
Male,"4'3""",52,41,,25,33,1
Female,"5'1""",59,32,,26,45,3
Female,"4'3""",105,47,,25,42,4
Female,"6'10""",86,42,,23,37,2
Female,"4'5""",58,44,A,28,45,4
Female,"5'3""",84,39,,24,31,0
Female,"4'11""",76,30,,29,37,1
Female,"5'9""",93,35,,34,32,1
Female,"4'9""",45,38,,27,38,1
Female,"6'6""",53,39,D,23,40,2
Male,"6'9""",43,44,B,24,49,1
Male,"5'2""",94,38,D,26,30,3
Male,"4'4""",73,43,,25,30,2
Male,"4'2""",66,40,A,32,37,4
Female,"6'4""",46,36,B,38,45,0
Female,"5'10""",42,31,C,29,39,2
Male,"5'1""",86,43,C,34,31,0
Female,"5'11""",41,35,C,22,45,2
Male,"4'6""",119,34,,37,33,4
Female,"4'10""",64,34,E,33,48,0
Male,"4'10""",99,48,B,22,38,2
Female,"6'4""",118,48,B,30,32,0
Female,"6'9""",63,35,,29,40,1
Male,"6'1""",54,39,,36,37,1
Female,"6'0""",53,43,E,32,36,1
Male,"4'10""",93,46,,21,30,3
Male,"4'11""",117,32,,32,37,1
Male,"4'9""",45,30,A,38,46,1
Male,"6'1""",117,39,,24,40,4
Female,"5'7""",57,32,A,35,36,0
Female,"6'9""",59,34,B,29,38,0
Female,"6'7""",101,48,C,31,43,1
Male,"5'10""",119,39,,39,34,0
Female,"6'2""",79,45,B,32,47,2
Male,"6'9""",78,30,A,35,42,1
Female,"6'0""",91,35,,20,34,1
Female,"5'1""",71,38,B,28,37,3
Female,"4'1""",112,34,,35,44,2
Male,"5'3""",66,43,,38,33,1
Female,"5'11""",91,39,C,34,30,1
Female,"4'9""",102,31,,37,35,0
Male,"5'7""",113,34,B,31,48,1
Female,"4'7""",102,30,,33,41,1
Male,"4'5""",56,39,,22,36,1
Female,"5'4""",88,38,,23,42,1
Male,"5'5""",62,32,,25,36,3
Male,"4'3""",111,44,B,35,38,2
Female,"5'10""",52,33,C,32,30,3
Male,"6'8""",62,42,,31,42,0
Male,"5'9""",96,35,E,31,48,4
Male,"4'1""",101,49,C,21,30,1
Male,"4'11""",93,46,D,32,49,0
Male,"5'8""",59,34,B,22,48,4
Male,"5'8""",91,44,B,32,47,1
Female,"5'3""",62,37,B,21,34,1
Male,"6'11""",74,34,D,38,32,4
Male,"5'0""",106,42,,28,31,3
Female,"6'11""",73,30,B,39,39,4
Female,"5'10""",72,30,,20,35,4
Female,"5'8""",85,36,,32,48,2
Female,"5'1""",84,34,,21,46,1
Female,"4'11""",58,43,D,34,48,1
Female,"4'11""",54,44,F,38,42,3
Female,"4'6""",117,46,,35,46,3
Male,"4'9""",105,47,,30,47,2
Male,"5'4""",78,36,A,34,40,2
Female,"5'7""",57,47,A,25,49,2
Male,"5'1""",109,48,A,33,49,3
Male,"5'11""",98,49,,25,42,4
Male,"5'7""",71,36,,38,40,1
Female,"5'3""",60,37,B,24,49,1
Female,"4'3""",79,42,A,30,48,0
Male,"5'3""",66,47,,23,39,3
Female,"4'0""",41,40,E,28,32,3
Male,"4'3""",119,38,A,28,35,2
Male,"5'5""",78,30,,36,36,0
Male,"6'6""",95,37,,27,49,0
Male,"4'10""",52,41,,34,34,3
Female,"6'4""",95,31,,28,38,2
Female,"4'7""",105,44,B,24,39,1
Female,"6'6""",117,47,,23,43,2
Male,"6'5""",95,46,A,39,40,1
Female,"4'6""",67,44,E,37,46,3
Male,"5'6""",103,49,C,28,40,2
Female,"5'11""",110,49,,22,36,0
Male,"4'8""",103,38,,28,40,4
Male,"5'11""",95,32,E,28,42,0
Male,"5'4""",80,49,F,23,48,1
Female,"4'10""",80,48,,26,35,3
Female,"6'7""",43,47,B,26,31,2
Female,"6'10""",96,49,B,27,43,3
Female,"4'4""",69,37,A,20,45,3
Male,"6'2""",85,30,B,28,36,1
Female,"4'11""",95,44,D,31,30,3
Female,"6'5""",70,48,A,25,31,2
Male,"5'6""",46,39,A,32,38,0
Male,"4'10""",116,41,C,24,47,3
Male,"6'4""",93,35,,38,49,2
Female,"4'5""",47,42,,20,47,2
Male,"6'8""",94,33,C,37,47,1
Male,"6'5""",108,42,C,27,39,3
Male,"5'4""",83,46,,27,37,1
Female,"6'8""",52,30,,34,37,0
Male,"6'0""",59,34,,38,31,0
Female,"6'10""",117,46,B,29,47,2
Female,"6'5""",71,47,,35,40,3
Male,"6'5""",99,36,,30,40,2
Male,"5'2""",89,45,D,31,48,3
Female,"5'2""",66,37,,35,40,1
Male,"4'9""",64,41,C,35,39,0
Male,"4'0""",91,43,,39,37,0
Female,"4'1""",107,48,,22,44,1
Female,"4'3""",60,40,,28,37,4
Male,"5'7""",57,41,,27,48,4
Female,"4'2""",78,42,,29,30,4
Male,"4'2""",54,37,A,32,49,3
Male,"6'4""",92,30,D,37,32,1
Male,"6'11""",77,38,,32,41,3
Female,"4'3""",87,31,F,32,45,3
Male,"4'6""",91,43,,34,45,1
Male,"6'5""",111,42,,32,46,3
Male,"6'5""",67,45,,35,45,1
Female,"6'10""",55,31,,27,38,4
Female,"4'11""",55,33,,38,48,4
Female,"4'5""",74,41,A,29,30,3
Female,"6'4""",56,45,B,31,47,0
Female,"4'5""",112,39,B,33,35,1
Male,"6'2""",91,32,A,25,35,2
Female,"5'9""",51,33,,28,41,2
Female,"6'9""",87,35,E,26,32,3
Female,"6'10""",61,34,,25,40,0
Male,"4'11""",88,47,,20,35,1
Female,"4'3""",91,32,B,33,43,4
Female,"6'6""",118,39,D,25,47,3
Male,"6'11""",40,40,,31,45,1
Female,"6'6""",105,48,,36,42,1
Male,"5'10""",103,43,,24,30,1
Male,"5'9""",47,40,C,30,35,0
Male,"6'10""",64,33,,24,43,1
Male,"5'1""",105,35,,31,46,0
Male,"6'2""",112,46,,22,42,0
Female,"5'3""",112,48,,28,42,1
Male,"5'0""",116,42,C,25,38,4
Male,"5'11""",109,39,A,21,35,1
Female,"4'2""",118,40,,21,35,4
Male,"6'3""",90,35,B,31,34,3
Female,"5'7""",92,31,,27,43,2
Female,"6'10""",54,30,A,21,43,3
Female,"6'3""",89,40,B,28,33,0
Male,"4'11""",110,45,B,35,31,3
Male,"5'5""",114,32,D,34,31,2
Male,"5'11""",77,34,,33,46,2
Female,"6'2""",79,44,,39,39,4
Male,"4'4""",105,44,,23,43,3
Male,"5'4""",78,33,B,23,48,0
Male,"4'8""",113,33,D,30,46,0
Female,"4'5""",56,37,,37,40,4
Female,"5'8""",46,36,B,24,36,4
Male,"5'3""",78,46,D,21,38,3
Male,"6'0""",107,44,,34,43,4
Male,"6'9""",74,34,F,30,33,2
Male,"6'11""",90,42,,36,43,0
Female,"5'8""",86,33,B,35,49,2
Female,"6'6""",75,46,,34,49,1
Female,"5'11""",103,46,E,22,46,2
Female,"6'8""",52,43,C,39,48,0
Male,"5'8""",57,43,D,34,46,1
Male,"5'2""",60,46,C,38,43,3
Male,"4'3""",104,37,B,32,42,1
Female,"5'2""",47,31,,35,43,4
Male,"5'11""",87,42,B,31,45,0
Female,"4'2""",82,45,,36,44,4
Female,"5'3""",92,45,,35,48,2
Male,"4'7""",66,35,,28,40,3
Male,"4'2""",58,33,A,25,41,0
Male,"5'9""",62,32,,38,40,3
Female,"6'4""",89,35,C,32,34,0
Male,"5'3""",90,33,nan,27,37,4
Female,"5'5""",82,47,D,31,35,2
Male,"6'8""",90,35,,28,45,1
Female,"5'6""",108,34,B,23,41,3
Female,"5'0""",80,38,D,32,35,0
Male,"5'0""",111,40,D,21,42,0
Female,"4'9""",50,35,,22,36,3
Female,"5'8""",119,45,,24,37,1
Male,"6'1""",91,48,,37,41,2
Female,"5'10""",62,40,,33,31,0
Male,"4'0""",88,44,B,21,38,0
Female,"4'11""",77,38,,34,42,3
Male,"5'3""",86,48,A,27,46,3
Male,"4'3""",111,48,,35,42,0
Female,"6'5""",46,38,A,22,45,0
Female,"5'3""",105,33,,39,30,0
Female,"4'6""",116,39,,39,36,4
Female,"5'1""",101,38,,24,42,0
Female,"4'2""",68,48,E,23,43,2
Male,"4'7""",77,44,D,31,46,2
Female,"6'3""",72,48,,38,45,1
Male,"5'3""",68,31,,34,44,3
Male,"6'10""",118,39,,32,46,1
Female,"6'8""",62,48,,24,31,0
Male,"5'11""",42,46,,31,41,3
Male,"4'2""",84,49,,38,32,0
Male,"6'10""",47,31,B,21,38,3
Male,"6'3""",68,48,B,26,35,4
Female,"4'0""",41,46,D,24,35,4
Male,"6'9""",89,47,E,39,36,4
Female,"6'8""",104,46,D,30,37,1
Female,"5'5""",59,31,C,37,32,3
Male,"6'1""",91,48,,37,44,1
Female,"5'3""",76,30,,26,35,3
Female,"5'9""",111,40,,29,40,0
Female,"4'6""",66,39,,39,32,4
Male,"4'0""",86,34,,33,45,4
Female,"6'9""",45,45,B,39,35,3
Female,"5'6""",99,34,C,39,40,1
Female,"5'5""",84,41,B,30,37,1
Male,"5'11""",83,33,D,21,39,2
Female,"5'2""",57,35,B,32,39,4
Male,"4'1""",104,48,,32,32,4
Male,"6'4""",64,38,D,28,43,1
Male,"5'8""",66,41,B,36,48,4
Male,"5'0""",46,44,D,34,38,1
Male,"5'4""",83,45,,35,42,2
Male,"5'10""",68,42,,29,38,3
Female,"6'8""",83,36,,39,41,3
Male,"5'4""",75,49,,31,43,2
Female,"6'0""",58,33,,24,34,4
Female,"6'4""",45,40,,39,35,0
Male,"6'1""",64,37,B,36,42,4
Female,"6'4""",70,35,B,29,42,1
Female,"5'1""",48,39,C,25,35,0
Female,"6'6""",113,36,,39,43,2
Female,"6'1""",76,36,,25,40,3
Male,"5'4""",66,33,,31,42,3
